key_id,service_trade_site_location_id,address_normalized,property_management_company_normalized,building_normalized,display_address,legacy_monthly_route_location_id,legacy_testing_site_id,keys_text,barcode_text,source,exported_at
454,,4678 elk lake drive,complete residential,building a,4678 Elk Lake Drive,3954,,KL 8764,100747,legacy_location,2026-05-11T22:18:57.352487+00:00
454,,4678 elk lake drive,complete residential,building b,4678 Elk Lake Drive,3955,,KL 8764,100747,legacy_location,2026-05-11T22:18:57.352487+00:00
454,,4678 elk lake drive,complete residential,building c,4678 Elk Lake Drive,3956,,KL 8764,100747,legacy_location,2026-05-11T22:18:57.352487+00:00
454,,4678 elk lake drive,complete residential,building d,4678 Elk Lake Drive,3957,,KL 8764,100747,legacy_location,2026-05-11T22:18:57.352487+00:00
522,,681 allandale road,sherringham holdings,building b,681 Allandale Road,4023,,AR 186,100925,legacy_location,2026-05-11T22:18:57.352487+00:00
522,,681 allandale road,sherringham holdings,building c,681 Allandale Road,4024,,AR 186,100925,legacy_location,2026-05-11T22:18:57.352487+00:00
522,,681 allandale road,sherringham holdings,building d,681 Allandale Road,4025,,AR 186,100925,legacy_location,2026-05-11T22:18:57.352487+00:00
4,,1000-1012 douglas street,itziar management ltd. (0824606 bc ltd.),,1000-1012 Douglas Street,930,1,D 2101,100539,testing_site,2026-05-11T22:18:57.352487+00:00
3,,1000 mckenzie avenue,starlight/devon,,1000 Mckenzie Avenue,929,2,M 0001,100229,testing_site,2026-05-11T22:18:57.352487+00:00
6,,10016 3rd street,cornerstone,,10016 3rd Street,932,3,358,100203,testing_site,2026-05-11T22:18:57.352487+00:00
7,,10017 avenger way,lumberworld operations ltd.,,10017 Avenger Way,933,4,VG 71001,,testing_site,2026-05-11T22:18:57.352487+00:00
5,,1001 wharf street,pastoral developments ltd.,,1001 Wharf Street,931,5,"NA 1001
[K2, F1]",100861,testing_site,2026-05-11T22:18:57.352487+00:00
11,,10025 resthaven drive,inken roller c/o richmond property group,,10025 Resthaven Drive,937,6,349,100398,testing_site,2026-05-11T22:18:57.352487+00:00
8,,1002 mckenzie avenue,starlight/devon,,1002 Mckenzie Avenue,934,7,M 2001,100966,testing_site,2026-05-11T22:18:57.352487+00:00
9,,1002 pakington,proline,,1002 Pakington,935,8,146,100903,testing_site,2026-05-11T22:18:57.352487+00:00
10,,1002 wharf street,malahat properties,,1002 Wharf Street,936,9,at reception,,testing_site,2026-05-11T22:18:57.352487+00:00
12,,10030 resthaven drive,raven property management ltd.,,10030 Resthaven Drive,938,10,SC 03001,100998,testing_site,2026-05-11T22:18:57.352487+00:00
13,,1004 pemberton road,raul caballero,,1004 Pemberton Road,939,11,PB 4001,100404,testing_site,2026-05-11T22:18:57.352487+00:00
14,,1005 & 1009 mckenzie avenue,firm management,,1005 & 1009 McKenzie Avenue,940,12,MN 5001,100535,testing_site,2026-05-11T22:18:57.352487+00:00
